modelId,brandId,brandName,modelName,vehicleClassCodes,status,publishable,providerLane,providerMake,providerModelFamily,providerModelYear,exactMatchReview,currentImageUrl,targetAssetPath,requestedPaintDescription,requestedAngle,requestedZoomType,requestedFileType,requestedWidth
vehicle-mercedes-eqs-suv,brand-mercedes,奔驰,EQS SUV,passenger_car,approved,true,owned_reviewed_asset,奔驰,EQS SUV,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-eqs-suv.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-eqs-suv.webp,white,28,relative,webp,800
vehicle-mercedes-sl,brand-mercedes,奔驰,SL,passenger_car,approved,true,owned_reviewed_asset,奔驰,SL,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-sl.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-sl.webp,white,28,relative,webp,800
vehicle-mercedes-slc,brand-mercedes,奔驰,SLC,passenger_car,approved,true,owned_reviewed_asset,奔驰,SLC,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-slc.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-slc.webp,white,28,relative,webp,800
vehicle-mercedes-slk,brand-mercedes,奔驰,SLK,passenger_car,approved,true,owned_reviewed_asset,奔驰,SLK,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-slk.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-slk.webp,white,28,relative,webp,800
vehicle-mercedes-glk,brand-mercedes,奔驰,GLK,passenger_car,approved,true,owned_reviewed_asset,奔驰,GLK,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-glk.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-glk.webp,white,28,relative,webp,800
vehicle-mercedes-ml,brand-mercedes,奔驰,ML级,passenger_car,approved,true,owned_reviewed_asset,奔驰,ML级,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-ml.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-ml.webp,white,28,relative,webp,800
vehicle-mercedes-gl,brand-mercedes,奔驰,GL级,passenger_car,approved,true,owned_reviewed_asset,奔驰,GL级,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-gl.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-gl.webp,white,28,relative,webp,800
vehicle-mercedes-r,brand-mercedes,奔驰,R级,passenger_car,approved,true,owned_reviewed_asset,奔驰,R级,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-r.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-r.webp,white,28,relative,webp,800
vehicle-mercedes-amg-gt,brand-mercedes,奔驰,AMG GT,passenger_car,approved,true,owned_reviewed_asset,奔驰,AMG GT,,passed,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-amg-gt.webp,/assets/used-cars/owner-presentation-v2/vehicle-mercedes-amg-gt.webp,white,28,relative,webp,800
vehicle-bmw-3,brand-bmw,宝马,3系,passenger_car,approved,true,owned_reviewed_asset,宝马,3系,,passed,/assets/used-cars/owner-models/vehicle-bmw-3.webp,/assets/used-cars/owner-models/vehicle-bmw-3.webp,white,28,relative,webp,800
vehicle-bmw-5,brand-bmw,宝马,5系,passenger_car,approved,true,owned_reviewed_asset,宝马,5系,,passed,/assets/used-cars/owner-models/vehicle-bmw-5.webp,/assets/used-cars/owner-models/vehicle-bmw-5.webp,white,28,relative,webp,800
vehicle-bmw-x3,brand-bmw,宝马,X3,passenger_car,approved,true,owned_reviewed_asset,宝马,X3,,passed,/assets/used-cars/owner-models/vehicle-bmw-x3.webp,/assets/used-cars/owner-models/vehicle-bmw-x3.webp,white,28,relative,webp,800
vehicle-bmw-1,brand-bmw,宝马,1系,passenger_car,approved,true,owned_reviewed_asset,宝马,1系,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-1.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-1.webp,white,28,relative,webp,800
vehicle-bmw-2,brand-bmw,宝马,2系,passenger_car,approved,true,owned_reviewed_asset,宝马,2系,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-2.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-2.webp,white,28,relative,webp,800
